x,Forecast,Real
0,0.655611,2.64634
1,0.661494,2.83536
2,0.635017,2.93846
3,0.628319,2.95565
4,0.649316,2.97283
5,0.682451,2.99001
6,0.607927,2.69789
7,0.605383,2.81818
8,0.554677,3.1103
9,0.613047,3.31651
10,0.636224,3.19622
11,0.716607,3.09312
12,0.651433,3.14467
13,0.678584,3.1103
14,0.568743,2.92128
15,0.62459,2.99001
16,0.643069,2.73226
17,0.571348,2.88691
18,0.569222,2.81818
19,0.631103,2.81818
20,0.55201,2.80099
21,0.624953,2.49168
22,0.658798,2.45731
23,0.632536,2.66352
24,0.670302,2.5776
25,0.578448,2.90409
26,0.568141,2.95565
27,0.66405,3.05875
28,0.791866,3.07593
29,0.781426,2.66352
30,0.752987,3.16186
31,0.801093,2.93846
32,0.752267,2.78381
33,0.682993,2.71507
34,0.675591,2.76662
35,0.673651,2.83536
36,0.588535,3.02438
37,0.593452,2.99001
38,0.565758,2.99001
39,0.59496,3.05875
40,0.483292,2.95565
41,0.455978,2.92128
42,0.516565,2.81818
43,0.482254,2.80099
44,0.562197,2.93846
45,0.626163,2.88691
46,0.701614,3.12749
47,0.756501,3.23059
48,0.576598,3.28214
49,0.677514,3.38525
50,0.686565,3.21341
51,0.685398,3.24777
52,0.549704,2.73226
53,0.561513,2.88691
54,0.585046,2.85254
55,0.648266,2.93846
56,0.647424,2.93846
57,0.623121,2.93846
58,0.641289,2.92128
59,0.627489,2.64634
60,0.591716,2.85254
61,0.55887,2.93846
62,0.541785,2.92128
63,0.586095,2.81818
64,0.627408,2.97283
65,0.687494,3.29933
66,0.799033,2.86973
67,0.865709,3.33369
68,0.768936,3.14467
69,0.698676,3.12749
70,0.729335,3.04157
71,0.670773,2.90409
72,0.630952,2.62915
73,0.625535,2.71507
74,0.597134,2.6807
75,0.627818,2.73226
76,0.610698,2.6807
77,0.605659,2.62915
78,0.555981,2.76662
79,0.541681,2.83536
80,0.625197,2.76662
81,0.642198,2.88691
82,0.615747,2.99001
83,0.702268,3.05875
84,0.804833,3.14467
85,0.691729,3.21341
86,0.769939,3.4368
87,0.832755,3.05875
88,0.761857,3.24777
89,0.740541,3.21341
90,0.67384,3.17904
91,0.579791,2.99001
92,0.549877,2.90409
93,0.543402,2.81818
94,0.541491,2.90409
95,0.491028,2.83536
96,0.503958,2.85254
97,0.524741,2.83536
98,0.576041,2.5776
99,0.586163,2.61197
100,0.617009,2.80099
101,0.679599,2.78381
102,0.69938,3.1103
103,0.726119,3.0072
104,0.762704,3.1103
105,0.843247,3.33369
106,0.772113,3.29933
107,0.744607,3.29933
108,0.779273,3.09312
109,0.769304,3.04157
110,0.718889,2.85254
111,0.636107,2.66352
112,0.608268,2.21674
113,0.594742,1.90742
114,0.570543,1.78714
115,0.517129,1.73558
116,0.568511,1.78714
117,0.511603,2.11363
118,0.475358,1.73558
119,0.477334,1.7184
120,0.583507,2.92128
121,0.698176,3.0072
122,0.684604,3.17904
123,0.71803,3.14467
124,0.775782,3.28214
125,0.785156,3.38525
126,0.793527,3.35088
127,0.763688,3.38525
128,0.680845,3.29933
129,0.619052,3.19622
130,0.524377,3.17904
131,0.442529,3.1103
132,0.286846,3.14467
133,0.300918,2.92128
134,0.317568,2.81818
135,0.347629,2.59478
136,0.409508,2.11363
137,0.317829,2.11363
138,0.360993,2.0449
139,0.479434,2.62915
140,0.668966,3.38525
141,0.748657,3.48835
142,0.752804,3.55709
143,0.80055,3.59145
144,0.835268,3.66019
145,0.824496,3.66019
