Windgeschwindigkeit_Stundenmittel
0.388107
0.0966
-0.1949
0.113645
0.6945
0.1754
0.156334
-0.247
-0.1502
0.146469
1.68826
0.73005
0.571837
1.76479
0.65774
0.550694
-1.12689
-2.10447
-1.68204
-1.74828
-0.71452
-1.08076
-1.4892
-0.79765
-0.306097
-0.23344
0.0392
0.211866
0.8374
0.663
0.888566
-0.4132
-0.1149
-1.21659
-1.0171
-0.2176
-0.0181781
0.0334
-0.4151
-0.763587
-0.55581
-0.24804
0.159735
0.30559
1.15144
0.597287
-0.39882
-0.09492
-0.591031
-0.69454
-2.39805
-2.10157
-4.2827
-2.46383
-3.14496
-2.48413
-4.02329
-2.16246
-1.81138
-1.56031
-1.80923
3.10994
-1.17088
-1.25171
-1.91889
-0.28608
0.546742
-3.37611
-1.19896
-0.521813
0.44317
0.20816
-1.62685
-1.986
-2.6452
-1.20432
-1.6646
-1.7249
-1.68523
-1.3613
-1.1374
-1.1135
-1.5042
-0.0949
-0.185639
-1.116
-1.2463
-2.77666
-1.9036
1.5695
0.0425681
-0.62115
-1.28487
-1.84858
0.26266
0.07389
-0.414868
-0.38743
-1.75999
-2.33255
-1.72232
-2.71208
-2.10185
-1.41508
-3.12831
-2.54154
-1.31171
0.11811
0.0479397
-0.51555
1.22097
1.45748
0.47782
0.79817
0.218511
2.13588
2.45325
0.570626
1.2335
1.19637
0.859241
-0.6764
-0.61205
-0.947691
-0.51705
-2.08642
-0.755781
-0.96659
-0.27741
0.411782
0.28783
0.96387
1.33992
1.24478
0.64965
0.254523
0.39048
0.52644
0.562397
0.12689
-1.50863
0.155862
0.06974
0.48362
-0.102507
-0.56369
-0.92487
-1.78605
-1.42142
-1.95679
0.10784
0.38818
-0.73149
-0.65115
-0.44393
0.16329
0.370505
0.02473
-0.52105
0.0331667
1.23108
1.12899
1.4269
0.91292
0.19893
-0.0150569
-1.40066
-2.18627
-1.77187
-1.53522
-1.69857
-1.86191
-2.09827
-2.13463
-2.07099
-2.22449
-1.87799
-1.13148
-0.39968
-0.36787
-0.136069
0.47229
0.08066
-0.110978
0.70596
0.4229
0.139832
0.97989
0.61994
1.76
1.58142
0.00284
-1.07574
-1.50756
-1.53938
-1.8712
-2.07044
-1.96967
-1.66891
-1.93067
-1.69243
-1.05419
-0.89029
-0.72638
-0.862475
-0.90754
-0.8526
-0.597666
-0.13991
-0.08215
0.475612
0.77927
0.28293
-0.0134041
-0.4234
-1.0334
-1.3434
-1.26067
-1.37794
-1.59521
-1.5416
-1.588
-2.23439
-1.60553
-1.37668
-0.947821
-0.77316
-0.4985
0.376163
0.36425
0.85233
0.440411
-0.89358
-1.42757
-2.06156
-2.34551
-2.12946
-2.41341
-1.56815
-1.8229
-1.97764
-1.89694
-1.71624
-1.43553
-2.11318
-3.19082
-3.06846
-1.88598
-1.3035
-0.721019
0.1375
1.09602
0.65454
1.61488
1.07523
-0.264426
-0.14347
0.07748
1.09844
-0.17261
-1.24366
-1.61471
-2.11063
-2.90654
-3.30245
-1.13775
-1.57305
-1.60834
-1.4704
-2.23245
-2.19451
-1.30043
-1.00635
-0.0122686
0.45273
1.01773
0.482723
-0.1676
-0.51791
-0.068232
-0.2534
-0.63857
-0.923743
-2.1985
-2.57326
-2.34802
-1.45691
-1.26581
-1.7747
-1.48874
-1.70278
-1.91682
-1.44475
-1.47268
-2.90061
-2.2369
-1.67318
-1.00946
-0.13818
-0.36689
0.1044
0.13519
0.36598
-0.303225
-0.94758
0.40807
-1.03628
-0.50999
-1.1837
-0.757415
-1.25273
-0.74805
-1.64337
-0.83271
-1.32205
-1.61139
-1.12991
-0.84843
-0.96695
-0.33137
0.10421
0.639791
0.32658
0.11336
0.20015
-0.35126
-1.60268
-1.65409
-1.78362
-1.71314
-2.94267
-1.48917
-1.83567
-1.58216
-1.6319
-1.78164
-1.93138
