Windrichtung_Stundenmittel_Forecast,Windrichtung_Stundenmittel_WeatherStation,Windgeschwindigkeit_Stundenmittel_Forecast,Windgeschwindigkeit_Stundenmittel_WeatherStation,RelativeLuftfeuchte_2m_Forecast,RelativeLuftfeuchte_2m_WeatherStation,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
0.414091,0.41688,0.572845,1.50863,0.0987032,-0.30355,0.98157,0.813455
0.59158,0.52947,0.132073,0.398356,-0.361319,0.0443435,1.00168,0.710351
0.634908,0.30429,0.0673603,0.135396,-0.60748,0.0443435,1.00839,0.675984
0.678244,0.52947,0.00264541,-0.0983461,-0.853628,-0.912365,1.01509,0.761903
0.705623,0.867241,0.0269545,0.544444,-0.73257,-0.825392,0.98157,0.761903
0.760392,0.867241,0.0755762,0.398356,-0.490453,-0.564471,0.914553,0.761903
0.752823,0.867241,0.0954497,0.427573,-0.611511,-0.651445,0.894446,0.744719
0.745248,0.867241,0.115323,0.0477427,-0.73257,0.0443435,0.874338,0.469776
0.737672,0.979831,0.135197,-0.0983461,-0.853628,-0.738418,0.854231,0.710351
0.620175,0.979831,0.239142,-0.0983461,-0.990824,-1.26026,0.867643,0.761903
0.561432,0.867241,0.291116,0.135396,-1.05943,-1.34723,0.874338,0.744719
0.557069,0.754651,0.322128,0.369138,-1.17241,-0.912365,0.907857,0.641616
0.552711,0.64206,0.35314,-0.0983461,-1.28541,-0.999339,0.941356,0.916559
0.559609,0.754651,0.266429,0.33992,-1.51945,-1.26026,1.01509,1.12277
0.570853,0.754651,0.148709,0.632098,-1.64051,-0.738418,1.0553,0.693168
0.582111,0.754651,0.0309861,0.486009,-1.76157,-1.26026,1.09552,1.15713
0.586522,0.754651,-0.0885663,0.193831,-1.69701,-2.04302,1.08882,1.15713
0.595352,0.64206,-0.327673,0.515227,-1.56787,-1.52118,1.07541,0.950927
0.632955,0.754651,-0.360633,0.193831,-1.6163,-1.08631,1.08211,0.865007
0.67057,0.754651,-0.393594,0.252267,-1.66472,-0.738418,1.08882,0.727535
0.708176,0.52947,-0.426554,0.0477427,-1.71314,0.131317,1.09552,0.57288
0.794062,0.30429,-0.70995,0.398356,-1.52753,-0.216577,1.0285,0.538512
0.837004,0.52947,-0.85165,-0.30287,-1.43471,0.131317,0.994982,0.504144
0.834466,0.191699,-0.841482,-0.0983461,-1.26926,-0.04263,0.93466,0.555696
0.831915,0.867241,-0.831313,-0.0983461,-1.10382,-0.912365,0.874338,0.57288
