Windrichtung_Stundenmittel_Forecast,Windrichtung_Stundenmittel_WeatherStation,Windgeschwindigkeit_Stundenmittel_Forecast,Windgeschwindigkeit_Stundenmittel_WeatherStation,RelativeLuftfeuchte_2m_Forecast,RelativeLuftfeuchte_2m_WeatherStation,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
-1.48742,-1.38456,-0.792362,-0.390524,0.272216,-0.738418,1.07541,1.38053
-1.77983,-1.38456,-0.84656,-0.624266,-0.52677,-2.30394,1.39713,1.84449
-1.51075,-1.38456,-0.565795,-0.82879,-0.353257,-0.216577,1.35022,0.865007
-1.17937,-1.27197,-0.305632,-1.06253,0.223793,1.175,1.09552,0.297936
-1.11395,-1.27197,-0.465149,-1.03331,0.348883,1.43592,0.834124,-0.0972951
-1.25337,-1.27197,-0.770796,-0.156782,-0.704327,-1.69513,1.10221,1.41489
-1.58039,-1.15938,-0.757757,-0.419741,-1.03522,-1.86907,1.49766,1.74139
-1.38945,-1.38456,-0.0707694,-0.536612,-0.0183242,0.392238,1.33011,0.779087
-1.13096,-1.15938,-0.158705,-0.887225,0.627318,1.00105,1.04861,0.366672
-1.23503,-1.15938,-0.337542,-0.916443,1.20437,1.00105,0.854231,0.469776
-1.30418,-1.15938,-0.590921,-0.332088,-0.207987,-2.21697,1.38372,1.96478
-1.40855,-1.38456,-0.529908,0.0477427,-0.538876,-1.60815,1.69874,1.89605
-1.28929,-1.27197,-0.272573,-0.507395,0.429593,0.392238,1.37702,0.761903
-1.16232,-1.27197,-0.527265,-0.624266,0.574863,1.08803,1.23627,0.57288
-1.19113,-1.15938,-0.729305,-0.770354,0.651529,0.479211,1.22957,1.03685
-1.30833,-1.38456,-1.23765,-0.507395,0.223793,-0.999339,1.67863,2.08507
-1.39412,-1.49716,-1.25443,-1.20862,0.0139622,-0.129603,1.89981,1.86168
-0.884391,-1.27197,-1.20273,-1.09175,0.570832,0.827105,1.75906,1.29461
-0.164731,-0.596433,-0.988338,-1.15019,1.15594,1.08803,1.61831,1.36334
0.230258,-0.596433,-1.46361,-1.0041,1.49491,0.392238,1.56468,1.60392
1.09056,0.079109,-1.30137,-0.653483,1.13981,0.740132,1.58479,1.60392
1.31784,0.867241,-1.50002,-1.29627,1.43438,0.827105,1.43734,1.34616
0.58904,-0.483843,-1.3649,-1.55923,1.43438,0.914079,1.41054,1.20869
0.389187,0.64206,-0.949668,-0.682701,1.22455,0.914079,1.35022,1.20869
0.615114,0.41688,-1.46276,-1.20862,0.792768,0.0443435,1.39713,1.58673
1.30512,0.191699,-0.934961,-0.536612,0.728208,-0.216577,1.3167,1.67265
1.12652,0.979831,-1.18729,-0.770354,0.377138,0.131317,1.21616,1.10558
0.618827,0.41688,-0.503683,-0.156782,-0.127277,-0.390524,1.19605,1.15713
0.660647,0.754651,-0.524852,-0.0399106,-0.522739,-1.26026,1.01509,0.882191
0.614632,0.52947,0.0411991,1.04115,-0.724495,-1.60815,1.14914,1.38053
0.840687,0.867241,0.261253,0.427573,-1.11996,-1.60815,1.17595,1.26024
0.904414,0.867241,0.0306409,0.515227,-1.01504,-0.999339,1.12904,0.968111
0.898804,0.979831,0.223377,0.515227,-0.688178,-0.999339,1.19605,1.00248
1.0554,0.979831,0.698525,1.18723,-0.296759,-0.216577,1.21616,1.07121
1.05155,0.979831,0.508532,1.09958,-0.147457,-0.477498,1.22286,1.29461
1.1848,1.09242,0.563835,1.15802,-0.103065,0.131317,1.20947,0.950927
1.26391,1.20501,0.280363,0.836622,-0.454135,-0.564471,1.15584,1.00248
1.19536,1.3176,-0.0181841,0.310702,-0.397637,-0.390524,1.1478,0.985295
1.47522,1.54278,0.203066,0.106178,-0.0909593,0.0443435,1.24968,1.15713
1.45516,1.43019,0.274113,0.544444,0.453804,-0.738418,1.25638,1.50081
1.63267,1.54278,0.152609,0.310702,0.332746,0.0443435,1.40382,1.34616
-1.93366,-1.94752,-0.349987,-0.595048,-0.0869281,-0.390524,1.41724,0.968111
-1.84715,-1.94752,-0.199403,-0.595048,0.0664168,0.914079,1.17595,0.693168
-1.67383,-1.72234,-0.329747,-0.478177,-0.0425359,-0.30355,1.0553,1.01966
-1.88348,-1.60975,-0.580103,-0.30287,-0.668009,-1.86907,1.33681,1.67265
-1.76679,-1.49716,-0.51948,-1.03331,-0.369394,-0.564471,1.49766,1.07121
-1.61286,-1.83493,-0.8578,-1.1794,0.199581,1.00105,1.25638,0.469776
-1.78564,-1.94752,-0.677802,-1.15019,0.651529,1.34895,1.16254,0.6588
-1.88206,-1.83493,-0.600189,-0.478177,0.453804,0.218291,1.23627,1.01966
-2.14744,-1.94752,-0.265771,-0.361306,0.0987032,-1.7821,1.46415,1.93041
-2.04539,-2.1727,-0.370457,-0.419741,0.352926,0.827105,1.50436,1.20869
-1.95315,-1.94752,-0.9691,-1.03331,1.56355,0.914079,0.415289,0.693168
-1.95315,-1.94752,-0.759123,-0.974879,2.2899,1.34895,0.354967,0.6588
-2.02841,1.76796,-0.357431,-0.332088,-1.74538,-0.477498,1.43406,1.55237
-1.84026,-1.83493,-0.257007,-0.273653,-2.6735,-2.12999,1.88312,1.9476
-1.84026,-1.83493,-0.622182,-0.536612,0.59508,0.392238,0.763808,0.933743
-1.83339,-1.83493,-0.215031,-0.741137,0.538545,1.175,1.26307,0.675984
-1.96464,-2.1727,-0.194001,-0.215217,0.756451,1.00105,1.15584,0.847823
-1.97686,-1.60975,-0.452296,-0.799572,0.982431,0.566185,1.2899,1.32897
-1.54472,-1.38456,-0.373393,-0.273653,0.825055,0.827105,1.54457,1.29461
-1.11371,-1.49716,-0.31473,-0.390524,1.30121,1.08803,1.3167,1.12277
-1.32381,-1.49716,-0.264558,0.0185249,1.56351,1.175,1.29659,1.03685
-1.11652,-1.38456,-0.67838,-0.448959,1.38596,1.08803,1.24968,1.20869
-1.15608,-1.27197,-1.16095,0.0769604,1.03489,-0.216577,1.45745,1.82731
-1.30223,-1.38456,-0.445383,0.0477427,0.159232,-0.04263,1.75906,1.60392
-1.25516,-1.27197,0.152001,-0.0983461,0.812949,0.827105,1.45075,1.1915
-1.1078,-1.27197,-0.1019,-0.361306,0.659604,1.08803,1.29659,0.968111
-1.18171,-1.27197,-0.156475,-0.185999,0.413455,0.218291,1.31,1.31179
-1.27399,-1.27197,-0.325148,0.310702,-0.203943,-1.43421,1.76575,2.23972
-1.27281,-1.38456,-0.138648,-0.185999,0.248005,0.305264,1.73895,1.38053
-1.17816,-1.15938,0.0290853,-0.185999,0.881541,0.218291,1.49097,1.10558
-1.11378,-1.15938,0.0585851,-0.419741,0.449773,0.653158,1.29659,0.779087
-1.20963,-1.27197,-0.0695578,-0.244435,0.0906286,-0.651445,1.37702,1.60392
-1.30506,-1.27197,-0.158724,0.310702,-0.518696,-2.82578,1.79927,2.17099
-1.37556,-1.38456,0.0285758,-0.0691283,0.304503,-0.30355,1.57809,1.10558
