x,MOS_Multiple_Forecast,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
167,0.7148205162,0.76039,0.744719
168,0.7589481402,0.807321,0.538512
169,0.7085254353,0.753695,0.00580869
170,0.7400412713,0.787213,-0.372239
171,0.7904451708,0.840819,0.744719
172,0.8786806731,0.93466,0.933743
173,0.9038826229,0.961463,0.916559
174,0.9353993992,0.994982,0.916559
175,0.7841500899,0.834124,0.796271
176,0.7400412713,0.787213,0.916559
177,0.9101974494,0.968179,0.675984
178,1.0299318629,1.09552,0.727535
179,0.954306268,1.01509,0.641616
180,0.9858239846,1.04861,0.727535
181,0.954306268,1.01509,0.950927
182,0.9480064858,1.00839,0.796271
183,1.0992576756,1.16925,0.950927
184,1.2378998982,1.3167,1.0884
185,1.2252909311,1.30329,1.12277
186,1.2568086476,1.33681,1.32897
187,1.2000823994,1.27648,1.05403
188,0.9921143642,1.0553,0.761903
189,0.9921143642,1.0553,0.761903
190,1.0866487084,1.15584,1.20869
191,1.1811830527,1.25638,1.22587
192,1.2378998982,1.3167,0.675984
193,1.1055574578,1.17595,0.830639
194,0.8534787234,0.907857,0.968111
195,1.004732734,1.06872,1.15713
196,1.2568086476,1.33681,1.34616
197,1.2189911488,1.29659,0.538512
198,1.118166425,1.18936,0.607248
199,1.1055574578,1.17595,0.521328
200,1.2297101813,1.30799,1.60392
201,1.3450432097,1.43065,1.43208
202,1.2114314101,1.28855,0.899375
203,1.1900121505,1.26577,1.10558
204,1.1017775885,1.17193,1.10558
205,1.2227710182,1.30061,1.24305
206,1.1578644558,1.23158,1.12277
207,1.0916979369,1.16121,0.968111
208,1.0091331789,1.0734,0.830639
209,0.8988540803,0.956115,1.00248
210,1.2063821817,1.28318,1.1915
211,1.2000823994,1.27648,1.00248
212,1.1118478374,1.18264,1.0884
213,1.067739959,1.13573,1.01966
214,1.0866487084,1.15584,1.27742
215,1.0803489262,1.14914,1.36334
216,1.0425408301,1.10893,0.675984
217,1.0866487084,1.15584,0.933743
218,0.9505263987,1.01107,1.00248
219,1.0488406123,1.11563,1.27742
220,1.3702423386,1.45745,1.32897
221,1.2630990272,1.3435,0.968111
222,1.0803489262,1.14914,0.899375
223,0.7652432211,0.814016,0.555696
224,1.118166425,1.18936,1.36334
225,1.3513335892,1.43734,1.55237
226,1.0299318629,1.09552,0.830639
227,0.8156668662,0.867643,0.469776
228,0.6896185664,0.733587,0.194832
229,0.8030560185,0.854231,0.744719
230,1.067739959,1.13573,0.590064
231,0.8660707657,0.921249,0.108913
232,0.6518067093,0.693373,0.0745446
233,0.6959145876,0.740283,0.349488
234,1.0614495795,1.12904,1.24305
235,1.0866487084,1.15584,0.710351
236,0.8471638969,0.901141,0.452592
237,0.677008659,0.720176,0.280752
238,0.6139939118,0.653158,0.212016
239,0.9101974494,0.968179,0.761903
240,0.7022294141,0.746999,0.607248
241,0.5572751858,0.592836,0.504144
242,0.4123218977,0.438674,0.349488
243,0.5761811144,0.612943,0.452592
244,0.7274313639,0.773802,0.641616
245,0.8156668662,0.867643,0.693168
246,1.0425408301,1.10893,0.968111
247,0.9164934706,0.974875,0.796271
248,1.0299318629,1.09552,1.0884
249,1.1622743033,1.23627,1.10558
250,0.9921143642,1.0553,0.882191
251,0.7967599973,0.847535,0.847823
252,0.7589481402,0.807321,0.779087
253,1.0866487084,1.15584,1.0884
254,1.0425408301,1.10893,0.796271
255,0.8345727948,0.88775,0.6588
256,0.6518067093,0.693373,0.177648
257,0.6328998404,0.673265,0.297936
258,1.0173228958,1.08211,1.26024
259,0.9732150174,1.0352,0.727535
260,0.8030560185,0.854231,0.607248
261,0.7652432211,0.814016,0.710351
262,0.7728057806,0.822059,0.899375
263,0.872384652,0.927964,0.985295
264,0.7904451708,0.840819,0.108913
265,0.7274313639,0.773802,0.2292
266,0.5389926535,0.573392,0.194832
267,0.4854313408,0.516428,0.263568
268,0.6518067093,0.693373,0.48696
269,0.8030560185,0.854231,0.504144
270,0.7967599973,0.847535,0.469776
271,0.7274313639,0.773802,0.48696
272,0.8704947173,0.925954,0.968111
273,0.8093520397,0.860927,0.796271
274,0.7463372925,0.793909,0.57288
275,0.6398390035,0.680645,0.57288
276,0.6102131022,0.649137,0.57288
277,0.7652432211,0.814016,0.761903
278,0.872384652,0.927964,0.796271
279,0.7778540687,0.827428,0.6588
280,0.6139939118,0.653158,0.452592
281,0.4520246298,0.480899,0.452592
282,0.5698860334,0.606248,0.57288
283,0.8786806731,0.93466,0.590064
284,0.78036834,0.830102,0.607248
285,0.7041202891,0.74901,0.744719
286,0.9391802088,0.999003,0.813455
287,1.0425408301,1.10893,0.865007
288,0.9858239846,1.04861,0.160464
289,0.840868816,0.894446,0.744719
290,0.7337273851,0.780498,0.538512
291,0.9240560301,0.982918,0.727535
292,1.2757079943,1.35691,1.0884
293,1.0551309919,1.12232,1.03685
294,1.1118478374,1.18264,1.00248
295,0.9732150174,1.0352,0.968111
296,1.0803489262,1.14914,0.968111
297,1.0488406123,1.11563,1.05403
298,0.9769948868,1.03922,0.968111
299,0.9215408185,0.980243,0.985295
300,0.8534787234,0.907857,0.779087
301,0.8276336317,0.88037,0.882191
302,0.7204922008,0.766422,0.624432
303,0.6864611532,0.730229,0.48696
304,0.6045404774,0.643104,0.57288
305,0.5131673074,0.545926,0.590064
306,0.4892130906,0.52045,0.435408
307,0.4816505311,0.512407,0.555696
308,0.4488860219,0.477561,0.366672
309,0.3089800817,0.328767,0.297936
310,0.5251350131,0.558654,0.418224
311,0.4980421884,0.52984,0.383856
312,0.47535451,0.505711,0.383856
313,0.5062290845,0.538547,0.349488
314,0.5679951585,0.604237,0.297936
315,0.5724003047,0.608922,0.435408
316,0.6328998404,0.673265,0.469776
317,0.5207298669,0.553969,0.418224
318,0.4715737004,0.50169,0.48696
319,0.4192601206,0.446053,0.435408
320,0.5396357955,0.574076,0.538512
321,0.5011807964,0.533178,0.555696
322,0.3606505196,0.38372,0.246384
323,0.3562453733,0.379035,0.349488
324,0.5402601321,0.57474,0.418224
325,0.7765875304,0.826081,0.899375
326,0.7595715365,0.807984,0.452592
327,0.6020262061,0.64043,0.435408
328,0.4684162871,0.498332,0.435408
329,0.4948847752,0.526482,0.383856
330,0.723649614,0.76978,0.675984
331,0.6518067093,0.693373,0.641616
332,0.6190422,0.658527,0.624432
333,0.6026505427,0.641094,0.57288
334,0.5100098942,0.542568,0.538512
335,0.7564141233,0.804626,0.727535
336,0.6373049866,0.67795,0.521328
337,0.5364783822,0.570718,0.418224
338,0.2825115936,0.300617,0.263568
339,0.2919650281,0.310671,0.280752
340,0.6007596678,0.639083,0.57288
341,0.2491039424,0.265087,0.177648
342,-0.0678959286,-0.0720515,0.00580869
343,0.0052143137,0.00570335,0.0573606
344,0.4740879717,0.504364,0.366672
345,0.4576963144,0.486931,0.0573606
346,0.3455263409,0.367635,-0.733102
347,0.104792856,0.111608,-1.07678
348,-0.075458394,-0.0800944,-1.11115
349,0.001433081,0.0016819,0.2292
350,0.1829327222,0.194712,0.0745446
351,0.3574931063,0.380362,0.0917285
352,0.5440409417,0.578761,0.2292
353,0.4532911681,0.482246,0.332304
354,0.6461340844,0.68734,0.349488
355,0.7160870545,0.761737,0.590064
356,0.7204922008,0.766422,0.469776
357,0.7494947057,0.797267,0.349488
358,0.6877276915,0.731576,0.538512
359,0.8301488432,0.883045,0.933743
360,0.7331030484,0.779834,0.641616
361,0.7595715365,0.807984,0.607248
362,0.6436198131,0.684666,0.538512
363,0.6814326106,0.724881,0.693168
364,0.8503213101,0.904499,0.761903
365,0.7022294141,0.746999,0.675984
366,0.6606358071,0.702763,0.624432
367,0.5270258881,0.560665,0.452592
368,0.5686194951,0.604901,0.452592
369,0.6089456236,0.647789,0.6588
370,0.4911039656,0.522461,0.693168
371,0.4495103585,0.478225,0.297936
372,0.1955426296,0.208123,0.212016
373,0.3001509839,0.319377,0.435408
374,0.2566665019,0.27313,0.194832
375,0.0606661724,0.064678,0.0229927
376,0.0657141785,0.0700467,-0.389423
377,-0.0256594616,-0.0271318,-0.234767
378,0.0631996251,0.0673724,0.263568
379,0.2037295258,0.21683,0.00580869
380,0.16465019,0.175268,-0.269135
381,0.0594184394,0.063351,-0.320687
382,0.0884015749,0.0941754,-0.148847
383,0.1722127495,0.183311,0.0229927
384,-0.0546615905,-0.0579764,-0.114479
385,-0.2840503898,-0.301938,-0.303503
386,-0.3615659194,-0.384378,-0.372239
387,-0.3004364055,-0.319365,-0.440975
388,-0.0477230856,-0.0505971,-0.217583
389,-0.0641147428,-0.0680301,-0.355055
390,-0.0281929144,-0.0298262,-0.114479
391,-0.098770033,-0.104887,-0.166031
392,-0.0099106642,-0.0103825,0.177648
393,0.1224331866,0.130369,0.14328
394,0.1035263177,0.110261,-0.148847
395,-0.0080200243,-0.00837175,-0.406607
396,-0.0735678012,-0.0780837,-0.458159
397,0.1394482402,0.148465,0.160464
398,0.1741036244,0.185322,-0.183215
399,0.0858871155,0.0915012,-0.337871
400,0.0808391094,0.0861325,-0.166031
401,0.0524798404,0.0559716,-0.217583
402,0.1860901355,0.19807,0.0745446
403,0.1281048711,0.136401,-0.0285592
404,-0.0067533074,-0.00702456,-0.0801112
405,-0.1554887591,-0.165209,-0.251951
406,-0.1668321282,-0.177273,-0.303503
407,0.104792856,0.111608,0.0917285
408,0.1476351364,0.157172,-0.217583
409,0.1224331866,0.130369,-0.251951
410,0.1142462905,0.121662,-0.0972951
411,0.2333554271,0.248338,0.00580869
412,0.3379637814,0.359592,-0.0285592
413,0.2150728949,0.228894,-0.0285592
414,0.0978546332,0.104229,-0.0801112
415,0.1526824843,0.16254,-0.0457432
416,0.1766367011,0.188016,0.160464
417,0.1299948058,0.138411,0.0401766
418,-0.1328010806,-0.14108,-0.0113753
419,-0.0540188247,-0.0572928,-0.0629272
420,-0.0193637225,-0.0204361,-0.0285592
421,0.1753701627,0.186669,0.246384
422,0.1577307725,0.167909,0.212016
423,0.0764339632,0.0814475,0.160464
424,-0.0817542271,-0.0867902,-0.114479
425,-0.1454053464,-0.154485,-0.0113753
426,-0.0893166926,-0.0948331,-0.0285592
427,0.0184486988,0.0197785,0.00580869
428,0.0606661724,0.064678,-0.0113753
429,-0.0067533074,-0.00702456,0.0401766
430,-0.1328010806,-0.14108,-0.131663
431,-0.2197691043,-0.233573,-0.389423
432,-0.2374150765,-0.25234,-0.440975
433,-0.1384727651,-0.147112,-0.303503
434,-0.1687230031,-0.179284,-0.355055
435,-0.1743946876,-0.185316,-0.234767
436,0.0089955559,0.00972481,-0.131663
437,-0.0924740118,-0.098191,-0.458159
438,-0.2336333266,-0.248318,-0.389423
439,-0.2046449256,-0.217488,-0.733102
440,-0.0741917617,-0.0787473,-0.166031
441,-0.0685198891,-0.0727151,-0.200399
442,-0.1573786937,-0.167219,-0.303503
443,-0.1699838998,-0.180625,-0.458159
444,-0.1233476462,-0.131026,-0.526894
445,-0.0704104819,-0.0747258,-0.337871
446,-0.0653625699,-0.0693572,-0.406607
447,-0.2348942233,-0.249659,-0.475342
448,-0.380471848,-0.404485,-0.59563
449,-0.4434922368,-0.471509,-0.715918
450,-0.4100921077,-0.435987,-0.320687
451,-0.3918161574,-0.41655,-1.07678
452,-0.511554332,-0.543895,-1.38609
453,-0.5865499486,-0.623655,-1.66104
454,-0.6602837283,-0.702073,-1.40328
455,-0.5607104985,-0.596174,-0.904942
456,-0.5689049167,-0.604889,-1.35172
457,-0.6357061152,-0.675934,-1.40328
458,-0.6388578868,-0.679286,-1.57512
459,-0.7170024543,-0.762395,-0.85339
460,-0.5865499486,-0.623655,-0.819022
461,-0.5165969785,-0.549258,-0.750286
462,-0.3048471934,-0.324056,-0.59563
463,-0.2140974198,-0.227541,-0.715918
464,-0.063471883,-0.0673464,-0.458159
465,0.0946972199,0.100871,-0.423791
466,0.0959637582,0.102218,-0.114479
467,0.0077288389,0.00837762,-0.114479
468,0.049965287,0.0532973,-0.320687
469,0.1016363831,0.108251,-0.114479
470,0.2100255469,0.223526,-0.0629272
471,0.2251497257,0.239611,-0.303503
472,0.1224331866,0.130369,-0.50971
473,0.0089955559,0.00972481,-1.11115
474,-0.0395366596,-0.0418906,-0.166031
475,-0.2443476577,-0.259713,-1.23144
476,-0.5474762545,-0.582099,-1.60948
477,-0.778763827,-0.82808,-1.66104
478,-1.0421887513,-1.10824,-1.26581
479,-0.7056590852,-0.750331,-0.922126
480,-0.7258259106,-0.771779,-1.11115
